annotation_id,xai_case_id,domain,dataset,sample_id,selection_roles,correct_case,confidence,true_class_index,true_class_name,predicted_class_index,predicted_class_name,cam_type,cam_target_index,cam_target_name,semantic_reference,cam_path,heatmap_path,overlay_path,cam_area_ge_050,cam_spatial_entropy,attention_semantic_region,disease_region_alignment,background_bias,attention_focus,annotation_confidence,annotation_note
XAI_010_PRIMARY,XAI_010,internal,PlantVillage,PV_TEST_00595,internal_relative_lowest_confidence,True,0.8971366338183858,2,Tomato_Late_blight,2,Tomato_Late_blight,PRIMARY_PREDICTED_CLASS,2,Tomato_Late_blight,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_010\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_010\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_010\primary_predicted_class_overlay.png,0.0445432079081632,0.9054963074874298,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_011_PRIMARY,XAI_011,internal,PlantVillage,PV_TEST_01023,internal_relative_lowest_confidence,True,0.7891365749756621,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,PRIMARY_PREDICTED_CLASS,4,Tomato_Septoria_leaf_spot,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_011\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_011\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_011\primary_predicted_class_overlay.png,0.0283003826530612,0.9410580914234086,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_012_PRIMARY,XAI_012,internal,PlantVillage,PV_TEST_01111,internal_relative_lowest_confidence,True,0.9092378587972696,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,PRIMARY_PREDICTED_CLASS,4,Tomato_Septoria_leaf_spot,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_012\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_012\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_012\primary_predicted_class_overlay.png,0.0947664221938775,0.9103199463374771,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_013_PRIMARY,XAI_013,external,PlantDoc,PD_EXT_0015,external_representative_correct,True,0.9999974966049194,1,Tomato_Early_blight,1,Tomato_Early_blight,PRIMARY_PREDICTED_CLASS,1,Tomato_Early_blight,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_013\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_013\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_013\primary_predicted_class_overlay.png,0.0951052295918367,0.918845729199258,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_014_PRIMARY,XAI_014,external,PlantDoc,PD_EXT_0026,external_representative_correct,True,0.9999902248382568,2,Tomato_Late_blight,2,Tomato_Late_blight,PRIMARY_PREDICTED_CLASS,2,Tomato_Late_blight,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_014\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_014\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_014\primary_predicted_class_overlay.png,0.0188536352040816,0.8891822205160803,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_015_PRIMARY,XAI_015,external,PlantDoc,PD_EXT_0030,external_representative_correct,True,0.9955716133117676,3,Tomato_Leaf_Mold,3,Tomato_Leaf_Mold,PRIMARY_PREDICTED_CLASS,3,Tomato_Leaf_Mold,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_015\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_015\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_015\primary_predicted_class_overlay.png,0.1358219068877551,0.9074949067872844,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_016_PRIMARY,XAI_016,external,PlantDoc,PD_EXT_0042,external_representative_correct,True,0.9999881982803344,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,PRIMARY_PREDICTED_CLASS,4,Tomato_Septoria_leaf_spot,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_016\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_016\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_016\primary_predicted_class_overlay.png,0.1936583227040816,0.9291077611956527,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_017_PRIMARY,XAI_017,external,PlantDoc,PD_EXT_0056,external_representative_correct,True,0.9883350133895874,7,Tomato__Tomato_YellowLeaf__Curl_Virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,PRIMARY_PREDICTED_CLASS,7,Tomato__Tomato_YellowLeaf__Curl_Virus,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_017\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_017\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_017\primary_predicted_class_overlay.png,0.1637635522959183,0.91574186101221,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_018_PRIMARY,XAI_018,external,PlantDoc,PD_EXT_0079,external_representative_correct,True,0.9221420288085938,9,Tomato_healthy,9,Tomato_healthy,PRIMARY_PREDICTED_CLASS,9,Tomato_healthy,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_018\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_018\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_018\primary_predicted_class_overlay.png,0.0340999681122448,0.9057808767359846,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_019_PRIMARY,XAI_019,external,PlantDoc,PD_EXT_0001,external_representative_incorrect,False,0.9995757937431335,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,PRIMARY_PREDICTED_CLASS,4,Tomato_Septoria_leaf_spot,ERRONEOUS_PREDICTED_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_019\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_019\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_019\primary_predicted_class_overlay.png,0.1247807716836734,0.9116082119288772,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_019_TRUE,XAI_019,external,PlantDoc,PD_EXT_0001,external_representative_incorrect,False,0.9995757937431335,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,SECONDARY_TRUE_CLASS,0,Tomato_Bacterial_spot,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_019\secondary_true_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_019\secondary_true_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_019\secondary_true_class_overlay.png,0.0854591836734693,0.9457179429540736,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_020_PRIMARY,XAI_020,external,PlantDoc,PD_EXT_0012,external_representative_incorrect,False,0.997334361076355,1,Tomato_Early_blight,4,Tomato_Septoria_leaf_spot,PRIMARY_PREDICTED_CLASS,4,Tomato_Septoria_leaf_spot,ERRONEOUS_PREDICTED_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_020\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_020\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_020\primary_predicted_class_overlay.png,0.0992307079081632,0.8860030987984936,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_020_TRUE,XAI_020,external,PlantDoc,PD_EXT_0012,external_representative_incorrect,False,0.997334361076355,1,Tomato_Early_blight,4,Tomato_Septoria_leaf_spot,SECONDARY_TRUE_CLASS,1,Tomato_Early_blight,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_020\secondary_true_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_020\secondary_true_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_020\secondary_true_class_overlay.png,0.0656090561224489,0.9428932622715578,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_021_PRIMARY,XAI_021,external,PlantDoc,PD_EXT_0023,external_representative_incorrect;external_high_confidence_incorrect,False,0.9999958276748656,2,Tomato_Late_blight,1,Tomato_Early_blight,PRIMARY_PREDICTED_CLASS,1,Tomato_Early_blight,ERRONEOUS_PREDICTED_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_021\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_021\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_021\primary_predicted_class_overlay.png,0.047134088010204,0.9275272111860724,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_021_TRUE,XAI_021,external,PlantDoc,PD_EXT_0023,external_representative_incorrect;external_high_confidence_incorrect,False,0.9999958276748656,2,Tomato_Late_blight,1,Tomato_Early_blight,SECONDARY_TRUE_CLASS,2,Tomato_Late_blight,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_021\secondary_true_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_021\secondary_true_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_021\secondary_true_class_overlay.png,0.0449019451530612,0.9081192604406422,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_022_PRIMARY,XAI_022,external,PlantDoc,PD_EXT_0029,external_representative_incorrect,False,0.9889935851097108,3,Tomato_Leaf_Mold,1,Tomato_Early_blight,PRIMARY_PREDICTED_CLASS,1,Tomato_Early_blight,ERRONEOUS_PREDICTED_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_022\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_022\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_022\primary_predicted_class_overlay.png,0.1558314732142857,0.9146737145160972,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_022_TRUE,XAI_022,external,PlantDoc,PD_EXT_0029,external_representative_incorrect,False,0.9889935851097108,3,Tomato_Leaf_Mold,1,Tomato_Early_blight,SECONDARY_TRUE_CLASS,3,Tomato_Leaf_Mold,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_022\secondary_true_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_022\secondary_true_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_022\secondary_true_class_overlay.png,0.0245735012755102,0.9217834614342052,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_023_PRIMARY,XAI_023,external,PlantDoc,PD_EXT_0035,external_representative_incorrect,False,0.9999233484268188,4,Tomato_Septoria_leaf_spot,1,Tomato_Early_blight,PRIMARY_PREDICTED_CLASS,1,Tomato_Early_blight,ERRONEOUS_PREDICTED_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_023\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_023\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_023\primary_predicted_class_overlay.png,0.0641940369897959,0.9338976430547756,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_023_TRUE,XAI_023,external,PlantDoc,PD_EXT_0035,external_representative_incorrect,False,0.9999233484268188,4,Tomato_Septoria_leaf_spot,1,Tomato_Early_blight,SECONDARY_TRUE_CLASS,4,Tomato_Septoria_leaf_spot,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_023\secondary_true_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_023\secondary_true_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_023\secondary_true_class_overlay.png,0.069156568877551,0.8533462665715471,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_024_PRIMARY,XAI_024,external,PlantDoc,PD_EXT_0047,external_representative_incorrect,False,0.97798490524292,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,PRIMARY_PREDICTED_CLASS,2,Tomato_Late_blight,ERRONEOUS_PREDICTED_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_024\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_024\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_024\primary_predicted_class_overlay.png,0.1095543686224489,0.8835341207696804,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_024_TRUE,XAI_024,external,PlantDoc,PD_EXT_0047,external_representative_incorrect,False,0.97798490524292,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,SECONDARY_TRUE_CLASS,7,Tomato__Tomato_YellowLeaf__Curl_Virus,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_024\secondary_true_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_024\secondary_true_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_024\secondary_true_class_overlay.png,0.0271444515306122,0.9191710502382856,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_025_PRIMARY,XAI_025,external,PlantDoc,PD_EXT_0068,external_representative_incorrect,False,0.9331840872764589,8,Tomato__Tomato_mosaic_virus,2,Tomato_Late_blight,PRIMARY_PREDICTED_CLASS,2,Tomato_Late_blight,ERRONEOUS_PREDICTED_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_025\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_025\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_025\primary_predicted_class_overlay.png,0.0335419323979591,0.8686848741430689,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_025_TRUE,XAI_025,external,PlantDoc,PD_EXT_0068,external_representative_incorrect,False,0.9331840872764589,8,Tomato__Tomato_mosaic_virus,2,Tomato_Late_blight,SECONDARY_TRUE_CLASS,8,Tomato__Tomato_mosaic_virus,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_025\secondary_true_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_025\secondary_true_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_025\secondary_true_class_overlay.png,0.1058474170918367,0.9564473957555172,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_026_PRIMARY,XAI_026,external,PlantDoc,PD_EXT_0074,external_representative_incorrect,False,0.9657007455825806,9,Tomato_healthy,2,Tomato_Late_blight,PRIMARY_PREDICTED_CLASS,2,Tomato_Late_blight,ERRONEOUS_PREDICTED_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_026\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_026\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_026\primary_predicted_class_overlay.png,0.0585538903061224,0.8712425488793325,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
